sim_id,strategy,n_guesses,n_players,seed,player_memory,team_memory,round,guesses,new_items,inventory,inventory_size,n_adjacent
0,diachronic,100,2,0,0,1,0,"[{'Big_Tree', 'Blue_Berry', 'Red_Berry'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry""]",6,3
0,diachronic,100,2,0,0,1,1,"[{'Antler', 'Blue_Berry'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry""]",6,3
0,diachronic,100,2,0,0,1,2,"[{'Antler', 'Red_Berry'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry""]",6,3
0,diachronic,100,2,0,0,1,3,"[{'Big_Tree', 'Tree', 'Red_Berry', 'Stone'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry""]",6,3
0,diachronic,100,2,0,0,1,4,"[{'Big_Tree', 'Blue_Berry', 'Stone', 'Antler'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry""]",6,3
0,diachronic,100,2,0,0,1,5,[{'Big_Tree'}],[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry""]",6,3
0,diachronic,100,2,0,0,1,6,[{'Stone'}],"[{""result"": ""Small_Stone"", ""guess"": [""Stone""]}]","[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry""]",7,3
0,diachronic,100,2,0,0,1,7,"[{'Big_Tree', 'Stone'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry""]",7,3
0,diachronic,100,2,0,0,1,8,[{'Tree'}],"[{""result"": ""Bough"", ""guess"": [""Tree""]}]","[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
0,diachronic,100,2,0,0,1,9,"[{'Red_Berry', 'Small_Stone'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
0,diachronic,100,2,0,0,1,10,"[{'Tree', 'Red_Berry', 'Antler'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
0,diachronic,100,2,0,0,1,11,[{'Antler'}],[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
0,diachronic,100,2,0,0,1,12,"[{'Stone', 'Small_Stone', 'Antler'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
0,diachronic,100,2,0,0,1,13,"[{'Big_Tree', 'Stone', 'Red_Berry', 'Blue_Berry'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
0,diachronic,100,2,0,0,1,14,"[{'Big_Tree', 'Antler'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
0,diachronic,100,2,0,0,1,15,"[{'Red_Berry', 'Small_Stone'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
0,diachronic,100,2,0,0,1,16,"[{'Blue_Berry', 'Red_Berry', 'Small_Stone', 'Bough'}]",[],"[""Big_Tree"", ""Tree"", ""Stone"", ""Small_Stone"", ""Blue_Berry"", ""Antler"", ""Red_Berry"", ""Bough""]",8,3
